[07/Nov/2018:09:40:06 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (6 ms)
[07/Nov/2018:09:40:06 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (5 ms)
[07/Nov/2018:09:40:06 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (5 ms)
[07/Nov/2018:09:40:06 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (5 ms)
[07/Nov/2018:09:42:55 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (11 ms)
[07/Nov/2018:09:42:55 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (18 ms)
[07/Nov/2018:09:42:55 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (5 ms)
[07/Nov/2018:09:42:55 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (5 ms)
[07/Nov/2018:09:42:55 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:09:42:55 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (10 ms)
[07/Nov/2018:09:42:56 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (6 ms)
[07/Nov/2018:09:42:56 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (6 ms)
[07/Nov/2018:09:42:56 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:09:42:56 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (11 ms)
[07/Nov/2018:09:42:56 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (5 ms)
[07/Nov/2018:09:42:56 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (6 ms)
[07/Nov/2018:09:42:56 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:09:42:56 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (6 ms)
